st,sex,age,marst,gedu_lvl,tedu_lvl,curr_att,sas,ind_sas,ocu_sas,wrk_365,evr_wrk,ern_reg,ern_self,tothrs_wrk,totadl_wrk,dur_unp,eff_pas,voc,voc_fld,voc_typ
06,2,11,1,06,01,25,,,,,2,0,0,0,0,,,,,
10,2,55,2,05,01,12,,,,1,,0,0,26,0,,,3,,
24,2,93,3,01,01,,,,,,1,0,0,0,0,,,,,
27,1,49,2,10,01,12,,,,1,,0,40000,56,0,,,6,,
10,2,14,1,07,01,26,,,,,2,0,0,0,0,,,6,,
09,1,9,1,05,01,24,,,,,2,0,0,0,0,,,,,
21,1,7,1,05,01,24,,,,,2,0,0,0,0,,,,,
10,1,45,2,01,01,,,,,1,,0,15500,40,0,,,2,,
05,2,21,1,12,01,32,,,,,2,0,0,0,0,,,6,,
14,2,41,2,10,01,12,,,,1,,0,16400,48,0,,,3,,
20,2,36,2,01,01,,21,01500,613,1,,0,0,26,0,,,2,,
18,2,28,2,07,01,14,,,,,2,0,0,0,0,,,6,,
19,1,43,4,05,01,12,,,,1,,0,0,40,0,,,4,,
08,1,32,2,12,01,12,,,,1,,0,0,68,0,,,3,,
10,2,40,2,12,01,,11,14105,753,1,,0,0,0,0,,,3,,
06,1,62,2,11,08,,,,,,1,0,0,0,0,,,,,
03,1,33,2,05,01,,,,,1,,0,0,70,0,,,4,,
30,1,27,1,07,01,13,,,,1,,20000,0,48,0,,,4,,
22,1,0,1,01,01,05,,,,,,0,0,0,0,,,,,
28,2,60,1,01,01,,,,,,2,0,0,0,0,,,,,
29,2,29,2,10,01,14,,,,,2,0,0,0,0,,,6,,
16,2,27,2,10,01,14,,,,,2,0,0,0,0,,,6,,
21,2,55,2,01,01,,,,,1,,0,0,34,0,,,6,,
23,2,5,1,01,01,23,,,,,2,0,0,0,0,,,,,
05,1,80,2,01,01,,,,,,2,0,0,0,0,,,,,
07,2,55,2,06,01,16,,,,,2,0,0,0,0,,,6,,
09,1,55,2,07,01,,,,,1,,0,14500,56,0,,,6,,
27,2,75,3,06,01,,,,,,2,0,0,0,0,,,,,
09,1,18,1,10,01,31,,,,,2,0,0,0,0,,,6,,
18,2,47,2,06,01,12,,,,1,,0,0,36,2,,,2,,
22,1,22,1,12,01,31,,,,,2,0,0,0,0,,,6,,
23,2,70,3,01,01,,,,,,1,0,0,0,0,,,,,
32,2,56,2,06,01,14,,,,,1,0,0,0,0,,,6,,
24,2,20,1,07,01,12,,,,1,,0,4000,30,0,,,6,,
28,2,23,2,06,01,14,,,,,2,0,0,0,0,,,6,,
10,1,2,1,01,01,05,,,,,,0,0,0,0,,,,,
21,2,53,2,06,01,,11,01412,612,1,,0,2500,19,0,,,6,,
18,1,3,1,01,01,16,,,,,,0,0,0,0,,,,,
08,1,7,1,05,01,24,,,,,2,0,0,0,0,,,,,
08,1,58,2,05,01,,,,,1,,0,25000,56,0,,,2,,
27,1,66,3,06,01,,,,,,1,0,0,0,0,,,,,
24,2,59,2,05,01,14,,,,,2,0,0,0,0,,,6,,
19,2,4,1,01,01,23,,,,,,0,0,0,0,,,,,
33,2,54,2,07,01,13,21,01412,612,1,,0,0,18,0,,,2,,
23,2,0,1,01,01,05,,,,,,0,0,0,0,,,,,
09,2,25,2,10,01,14,,,,,2,0,0,0,0,,,6,,
19,1,31,1,07,01,,,,,1,,17000,0,66,0,,,4,,
23,2,16,1,07,01,26,,,,,2,0,0,0,0,,,6,,
09,2,3,1,01,01,01,,,,,,0,0,0,0,,,,,
33,1,44,2,08,01,,,,,1,,0,0,42,0,,,1,15,2
18,2,13,1,06,01,25,,,,,2,0,0,0,0,,,6,,
09,1,21,1,10,01,31,,,,1,,0,0,0,0,,,6,,
01,2,27,1,10,01,12,,,,1,,10000,0,56,0,,,4,,
36,1,40,2,06,01,12,,,,1,,0,0,32,0,,,2,,
33,1,11,1,06,01,25,,,,,2,0,0,0,0,,,,,
08,2,30,2,10,01,14,,,,1,,0,4000,30,0,,,3,,
09,2,57,2,08,01,16,,,,,2,0,0,0,0,,,6,,
05,2,21,1,10,01,15,,,,,2,0,0,0,0,,,6,,
24,1,48,2,01,01,,,,,1,,0,6500,33,0,,,6,,
33,2,46,2,06,01,,,,,,1,0,0,0,0,,,6,,
08,2,38,2,01,01,,41,42209,931,1,,0,11500,37,0,,,3,,
09,1,48,3,07,01,12,,,,1,,0,18000,58,0,,,6,,
24,1,28,2,08,01,12,,,,1,,0,40000,50,0,,,1,15,3
32,1,73,2,08,01,,11,01222,611,1,,0,6000,14,0,,,,,
09,2,32,2,13,01,14,,,,,2,0,0,0,0,,,3,,
18,2,21,1,10,01,31,,,,,2,0,0,0,0,,,6,,
08,2,6,1,01,01,05,,,,,2,0,0,0,0,,,,,
23,1,22,2,08,01,12,,,,1,,0,0,56,0,,,6,,
33,2,24,2,12,01,14,,,,,2,0,0,0,0,,,6,,
32,2,30,2,13,04,12,,,,1,,45000,0,40,0,,,4,,
06,1,44,3,08,01,15,,,,1,,0,20000,24,0,,,6,,
28,1,31,2,10,01,,21,01124,611,1,,0,0,40,0,,,6,,
24,2,51,2,01,01,02,21,01113,611,1,,0,2850,46,5,,,2,,
20,1,27,1,08,01,12,,,,1,,0,0,40,0,,,4,,
08,1,24,1,13,06,12,,,,,2,0,0,0,0,3,1,1,13,2
07,2,70,2,01,01,,,,,,2,0,0,0,0,,,,,
20,2,5,1,01,01,23,,,,,2,0,0,0,0,,,,,
09,2,28,2,07,01,14,,,,,2,0,0,0,0,,,6,,
10,2,18,1,07,01,14,,,,,2,0,0,0,0,,,6,,
09,2,3,1,01,01,05,,,,,,0,0,0,0,,,,,
23,2,10,1,05,01,24,,,,,2,0,0,0,0,,,,,
18,2,4,1,01,01,23,,,,,,0,0,0,0,,,,,
22,2,36,3,06,01,,51,01124,921,1,,0,7000,33,0,,,2,,
33,2,30,2,12,01,,,,,,2,0,0,0,0,,,6,,
23,2,63,2,12,01,,,,,,2,0,0,0,0,,,,,
06,1,65,2,01,01,,,,,,1,0,0,0,0,,,,,
08,1,22,1,07,01,12,21,01111,611,1,,0,0,21,0,,,4,,
08,2,21,1,10,01,31,,,,,2,0,0,0,0,,,6,,
10,1,30,2,12,01,,,,,1,,0,0,42,0,,,2,,
09,2,1,1,01,01,05,,,,,,0,0,0,0,,,,,
09,2,48,2,01,01,,,,,1,,0,2500,36,0,,,3,,
09,1,27,2,08,01,16,,,,1,,0,0,0,0,,,6,,
20,1,5,1,01,01,23,,,,,2,0,0,0,0,,,,,
09,1,80,3,10,01,,,,,,1,0,0,0,0,,,,,
09,2,1,1,01,01,05,,,,,,0,0,0,0,,,,,
23,2,19,1,10,01,31,,,,,2,0,0,0,0,,,6,,
12,1,44,2,06,01,12,,,,1,,0,16500,39,0,,,6,,
09,1,31,2,07,01,,,,,1,,0,0,28,0,,,6,,
10,1,2,1,01,01,05,,,,,,0,0,0,0,,,,,
09,2,26,2,01,01,14,,,,,2,0,0,0,0,,,6,,
27,1,58,2,01,01,02,,,,1,,0,10000,24,0,,,6,,
19,2,32,2,06,01,,,,,,2,0,0,0,0,,,6,,
08,1,68,2,01,01,,,,,,1,0,0,0,0,,,,,
33,2,13,1,06,01,25,,,,,2,0,0,0,0,,,6,,
23,2,26,1,12,03,15,,,,,2,0,0,0,0,5,1,1,13,2
09,1,39,2,08,01,,,,,1,,0,0,0,0,,,3,,
09,1,27,1,08,01,13,,,,1,,0,0,49,0,,,6,,
09,1,16,1,06,01,25,,,,,2,0,0,0,0,,,6,,
09,1,7,1,05,01,24,,,,,2,0,0,0,0,,,,,
05,1,64,2,05,01,,,,,1,,0,9000,84,0,,,,,
22,2,50,2,01,01,03,,,,,2,0,0,0,0,,,6,,
09,1,0,1,01,01,05,,,,,,0,0,0,0,,,,,
10,2,18,1,10,01,31,,,,,2,0,0,0,0,,,6,,
24,2,22,2,07,01,14,,,,,2,0,0,0,0,,,6,,
23,2,65,3,01,01,,,,,,1,0,0,0,0,,,,,
21,2,3,1,01,01,05,,,,,,0,0,0,0,,,,,
27,2,14,1,07,01,26,,,,,2,0,0,0,0,,,6,,
08,2,40,2,05,01,16,,,,1,,0,5000,30,0,,,6,,
29,1,1,1,01,01,05,,,,,,0,0,0,0,,,,,
09,2,12,1,05,01,24,,,,,2,0,0,0,0,,,6,,
09,2,45,2,07,01,,,,,,2,0,0,0,0,,,6,,
33,2,6,1,05,01,24,,,,,2,0,0,0,0,,,,,
03,2,50,3,01,01,01,,,,1,,3000,0,36,0,,,6,,
19,1,54,2,08,01,12,11,01124,611,1,,0,14500,52,0,,,5,,
23,1,15,1,06,01,25,,,,,2,0,0,0,0,,,6,,
29,1,26,1,10,01,12,,,,1,,18000,0,47,0,,,4,,
28,2,19,1,10,01,31,,,,,2,0,0,0,0,,,6,,
09,2,28,2,12,01,14,,,,,2,0,0,0,0,,,6,,
18,1,28,1,12,01,12,,,,1,,34500,0,46,0,,,6,,
09,1,5,1,01,01,24,,,,,2,0,0,0,0,,,,,
